Bin #,Energy Bound [eV]
,
0,1.00E-05
1,1.00E-01
2,4.14E-01
3,5.32E-01
4,6.83E-01
5,8.76E-01
6,1.13E+00
7,1.45E+00
8,1.86E+00
9,2.38E+00
10,3.06E+00
11,3.93E+00
12,5.04E+00
13,6.48E+00
14,8.32E+00
15,1.07E+01
16,1.37E+01
17,1.76E+01
18,2.26E+01
19,2.90E+01
20,3.73E+01
21,4.79E+01
22,6.14E+01
23,7.89E+01
24,1.01E+02
25,1.30E+02
26,1.67E+02
27,2.14E+02
28,2.75E+02
29,3.54E+02
30,4.54E+02
31,5.83E+02
32,7.49E+02
33,9.61E+02
34,1.23E+03
35,1.58E+03
36,2.03E+03
37,2.25E+03
38,2.49E+03
39,2.61E+03
40,2.75E+03
41,3.04E+03
42,3.35E+03
43,3.71E+03
44,4.31E+03
45,5.53E+03
46,7.10E+03
47,9.12E+03
48,1.06E+04
49,1.17E+04
50,1.50E+04
51,1.93E+04
52,2.19E+04
53,2.36E+04
54,2.42E+04
55,2.48E+04
56,2.61E+04
57,2.70E+04
58,2.85E+04
59,3.18E+04
60,3.43E+04
61,4.09E+04
62,4.63E+04
63,5.25E+04
64,5.66E+04
65,6.74E+04
66,7.20E+04
67,7.95E+04
68,8.25E+04
69,8.65E+04
70,9.80E+04
71,1.11E+05
72,1.17E+05
73,1.23E+05
74,1.29E+05
75,1.36E+05
76,1.43E+05
77,1.50E+05
78,1.58E+05
79,1.66E+05
80,1.74E+05
81,1.83E+05
82,1.93E+05
83,2.02E+05
84,2.13E+05
85,2.24E+05
86,2.35E+05
87,2.47E+05
88,2.87E+05
89,2.87E+05
90,2.95E+05
91,2.97E+05
92,2.99E+05
93,3.02E+05
94,3.34E+05
95,3.69E+05
96,3.88E+05
97,4.08E+05
98,4.50E+05
99,4.98E+05
100,5.23E+05
101,5.50E+05
102,5.78E+05
103,6.08E+05
104,6.39E+05
105,6.72E+05
106,7.07E+05
107,7.43E+05
108,7.81E+05
109,8.21E+05
110,8.63E+05
111,9.07E+05
112,9.62E+05
113,1.00E+06
114,1.11E+06
115,1.16E+06
116,1.22E+06
117,1.29E+06
118,1.35E+06
119,1.42E+06
120,1.50E+06
121,1.57E+06
122,1.65E+06
123,1.74E+06
124,1.83E+06
125,1.92E+06
126,2.02E+06
127,2.12E+06
128,2.23E+06
129,2.31E+06
130,2.35E+06
131,2.37E+06
132,2.39E+06
133,2.47E+06
134,2.59E+06
135,2.73E+06
136,2.87E+06
137,3.01E+06
138,3.17E+06
139,3.33E+06
140,3.68E+06
141,4.07E+06
142,4.49E+06
143,4.72E+06
144,4.97E+06
145,5.22E+06
146,5.49E+06
147,5.77E+06
148,6.07E+06
149,6.38E+06
150,6.59E+06
151,6.70E+06
152,7.05E+06
153,7.41E+06
154,7.79E+06
155,8.19E+06
156,8.61E+06
157,9.05E+06
158,9.51E+06
159,1.00E+07
160,1.05E+07
161,1.11E+07
162,1.16E+07
163,1.22E+07
164,1.25E+07
165,1.28E+07
166,1.35E+07
167,1.38E+07
168,1.42E+07
169,1.46E+07
170,1.49E+07
171,1.57E+07
172,1.65E+07
173,1.69E+07
174,1.73E+07
175,1.96E+07
